Canton Kanton;cred_sum;n;cred_avg;cred_sum_r;n_r
AG;821193571.7;7233;113534.29720724457;0.05522434763935564;0.05815103350136273
AI;23268804;182;127850.57142857143;0.0015648009988532513;0.0014632224660926332
AR;70063793;653;107295.24196018376;0.004711711580442529;0.005249913573398294
BE;1367611033.75;11198;122129.93693070191;0.0919703097612893;0.0900283800840951
BL;400145853;3343;119696.63565659587;0.02690936029464111;0.026876663209602598
BS;378940967.71;3101;122199.60261528539;0.02548335551664046;0.024931059710732173
FR;510780975;4231;120723.46372016073;0.0343494482946024;0.03401590249471391
GE;1169995780.29;9530;122769.75658866737;0.07868090537235524;0.0766181873728725
GL;66363510.58;401;165495.03885286784;0.004462871733458768;0.003223913235731571
GR;353487745;2954;119664.09783344617;0.023771654806941662;0.023749226180426585
JU;139024025;1143;121630.81802274716;0.009349209920054308;0.009189358674416922
LU;653469719.05;4974;131377.10475472457;0.04394510646485283;0.03998938761727889
NE;268124009;2413;111116.4562784915;0.01803103920165979;0.019399757201546835
NW;73292892;594;123388.70707070707;0.004928864870340713;0.0047755722245001325
OW;59892262;475;126088.97263157894;0.004027687516779144;0.0038188498428241803
SG;700649166;5953;117696.81941878045;0.047117871412836576;0.047860238135436516
SH;98616422.8;970;101666.41525773196;0.006631843944397595;0.007798493363240957
SO;365621419;3125;116998.85408;0.024587630788988686;0.02512401212384329
SZ;336386098.4;2785;120784.9545421903;0.022621588233613897;0.022390519604769142
TG;365874770.75;3110;117644.62081993569;0.024604668410323296;0.02500341686564884
TI;1248024034.1;11541;108138.29253097653;0.083928218018964107;0.09278599165480814
UR;58691862;284;206661.48591549296;0.00394696196169589;0.002283270221814878
VD;1578525366.7;13381;117967.66808908153;0.10615406234576366;0.10757900999332706
VS;627779502;5749;109198.0347886589;0.04221746815131524;0.046220142623992024
ZG;574763929.34;3845;149483.4666684005;0.03865223028807375;0.030912584517176784
ZH;2559548701.35;21215;120648.0651119491;0.17212678247176014;0.17056189350634732
