date;Anzahl;kumuliert;Art;Bemerkungen / Notes,
26.03.20;7554;7554;brut;,
27.03.20;8376;15930;brut;,
28.03.20;11750;27680;brut;,
29.03.20;4173;31853;brut;,
30.03.20;11681;43534;brut;,
31.03.20;10216;53750;brut;,
01.04.20;10941;64691;brut;,
02.04.20;11343;76034;brut;,
03.04.20;2019;78053;brut;,
04.04.20;1903;79956;brut;,
05.04.20;286;80242;brut;,
06.04.20;3978;84220;brut;,
07.04.20;3883;88103;brut;,
08.04.20;3694;91797;brut;,
09.04.20;2472;94269;brut;,
10.04.20;1972;96241;brut;,
11.04.20;2;96243;brut;,
12.04.20;0;96243;brut;,
13.04.20;186;96429;brut;,
14.04.20;2144;98573;brut;,
15.04.20;2729;101302;brut;,
16.04.20;2087;103389;brut;,
17.04.20;2025;105414;brut;,
18.04.20;498;105912;brut;,
19.04.20;0;105912;brut;,
20.04.20;1155;107067;brut;,
21.04.20;1925;108992;brut;,
22.04.20;1417;110409;brut;,
23.04.20;412;110821;brut;,
24.04.20;1268;112089;brut;,
25.04.20;226;112315;brut;,
26.04.20;1;112316;brut;,
27.04.20;1179;113495;brut;,
28.04.20;1646;115141;brut;,
29.04.20;1119;116260;brut;,
30.04.20;864;117124;brut;,
01.05.20;518;117642;brut;,
02.05.20;70;117712;brut;,
03.05.20;1;117713;brut;,
04.05.20;633;118346;brut;,
05.05.20;1013;119359;brut;,
06.05.20;892;120251;brut;,
07.05.20;981;121232;brut;,
08.05.20;1538;122770;brut;,
09.05.20;182;122952;brut;,
10.05.20;3;122955;brut;,
11.05.20;609;123564;brut;,
12.05.20;-1595;121969;net;net= Nettozahlen, zurueckgewiesene AntrŠge beruecksichtigt
13.05.20;197;122166;net;,
14.05.20;281;122447;net;,
15.05.20;424;122871;net;,
16.05.20;43;122914;net;,
17.05.20;0;122914;net;,
18.05.20;322;123236;net;,
19.05.20;305;123541;net;,
20.05.20;116;123657;net;,
21.05.20;108;123765;net;,
22.05.20;217;123982;net;,
23.05.20;46;124028;net;,
24.05.20;0;124028;net;,
25.05.20;274;124302;net;,
26.05.20;470;124772;net;,
27.05.20;82;124854;net;,
28.05.20;133;124987;net;,
29.05.20;426;125413;net;,
30.05.20;311;125724;net;,
31.05.20;0;125724;net;,
01.06.20;0;125724;net;,
02.06.20;791;126515;net;,
03.06.20;978;127493;net;,
04.06.20;363;127856;net;,
05.06.20;251;128107;net;,
06.06.20;0;128107;net;,
07.06.20;0;128107;net;,
08.06.20;173;128280;net;,
09.06.20;244;128524;net;,
10.06.20;-149;128375;net;,
11.06.20;-409;127966;net;,
12.06.20;-393;127573;net;,
13.06.20;-376;127197;net;,
14.06.20;0;127197;net;,
15.06.20;-20;127177;net;,
16.06.20;160;127337;net;,
17.06.20;189;127526;net;,
18.06.20;-198;127328;net;,
19.06.20;439;127767;net;,
20.06.20;-15;127752;net;,
21.06.20;0;127752;net;,
22.06.20;228;127980;net;,
23.06.20;288;128268;net;,
24.06.20;249;128517;net;,
25.06.20;210;128727;net;,
26.06.20;532;129259;net;,
27.06.20;-357;128902;net;,
28.06.20;0;128902;net;,
29.06.20;242;129144;net;,
30.06.20;187;129331;net;,
01.07.20;231;129562;net;,
02.07.20;214;129776;net;,
03.07.20;224;130000;net;,
04.07.20;0;130000;net;,
05.07.20;0;130000;net;,
06.07.20;171;130171;net;,
07.07.20;205;130376;net;,
08.07.20;186;130562;net;,
09.07.20;152;130714;net;,
10.07.20;160;130874;net;,
11.07.20;0;130874;net;,
12.07.20;0;130874;net;,
13.07.20;240;131114;net;,
14.07.20;179;131298;net;,
15.07.20;154;131452;net;,
16.07.20;297;131749;net;,
17.07.20;169;131918;net;,
18.07.20;0;131918;net;,
19.07.20;0;131918;net;,
20.07.20;125;132043;net;,
21.07.20;206;132249;net;,
22.07.20;263;132512;net;,
23.07.20;135;132647;net;,
24.07.20;275;132922;net;,
25.07.20;0;132922;net;,
26.07.20;0;132922;net;,
27.07.20;173;133095;net;,
28.07.20;272;133367;net;,
29.07.20;289;133656;net;,
30.07.20;349;134005;net;,
31.07.20;743;134748;net;Die Zahlen kšnnen sich aufgrund der gesetzlichen Vorgaben (Art. 11 Abs. 1 der COVID-19-Solidarbürgschaftsverordnung) und von Berichtigungen nach Ablauf der Eingabefrist verändern. ,
