Canton Kanton;cred_sum;n;cred_avg;cred_sum_r;n_r
AG;702201269.1;5920;118615.07923986486;0.057533191907508476;0.05824994342277455
AI;19510193;151;129206.5761589404;0.0015985212892881803;0.0014857671379795534
AR;57403367;550;104369.75818181818;0.0047032084319372225;0.005411734608534798
BE;1129472108.75;9104;124063.28083809315;0.0925406125656517;0.08957896704745599
BL;343876300;2805;122594.04634581105;0.028174687274064848;0.027599846503527467
BS;302190734.71;2612;115693.23687212863;0.024759279565280137;0.025700819631805257
FR;441010288;3652;120758.5673603505;0.036133129701131694;0.03593391780067105
GE;1017162120.19;8118;125297.1323220005;0.08333876060483962;0.07987720282197361
GL;34080480;250;136321.92;0.002792303122227445;0.002459879367515817
GR;280391128;2287;122602.1547879318;0.022973180605416213;0.022502976454034693
JU;104168315;816;127657.2487745098;0.008534783289779722;0.008029046255571626
LU;494008275.75;3837;128748.57329945269;0.04047539385545396;0.03775422853263276
NE;194115557;1760;110292.93011363636;0.015904396765656456;0.017317550747311353
NW;67537255;525;128642.39047619047;0.005533504457776743;0.0051657466717832156
OW;52272601;412;126875.24514563107;0.004282831315147248;0.004053881197666066
SG;607759587.2;4953;122705.34770845952;0.04979533718134906;0.04873513002922337
SH;86259112;818;105451.23716381418;0.0070674353107164824;0.008048725290511753
SO;312729234;2666;117302.78844711177;0.025622726455437166;0.026232153575188672
SZ;271172292;2311;117339.80614452618;0.022217857190191346;0.022739124873316214
TG;298739148.75;2598;114988.125;0.02447648207379104;0.02556306638722437
TI;970248123.5;8668;111934.48586755883;0.07949497379685878;0.0852889374305084
UR;26212019;228;114964.99561403508;0.002147619472894311;0.002243409983174425
VD;1305656039.9;11291;115636.88246390931;0.1069758241893275;0.11109799175448436
VS;527294295;4852;108675.65849134377;0.04320260472449976;0.047741338764746975
ZG;460629582.94;3299;139627.0333252501;0.0377405899985472;0.032460568133738724
ZH;2099051127.5;17148;122407.92672614881;0.17198076485522765;0.16872804557664492
