Noga_1;cred_sum;n;cred_avg;cred_sum_r;n_r
A;109154174;1253;87114.2649640862;0.008970206908572654;0.01237323116118775
B;11793369;39;302394.07692307694;9.691700848668103e-4;3.8512052297392043e-4
C;1796136650.95;8856;202815.79166102078;0.14760514238413128;0.08745198337069332
D;8515707;43;198039.6976744186;6.998143173414561e-4;4.246200637917584e-4
E;58791752;239;245990.59414225942;0.00483146141491108;0.00236009756386582
F;1620915607.43;12236;132471.03689359268;0.13320561044217905;0.12082909536176642
G;2988646385.5;20180;148099.42445490585;0.24560468438424346;0.19927518342599268
H;521055007.7;3468;150246.54201268742;0.04281990379787875;0.03424610188906554
I;1163721571.66;12148;95795.32200032927;0.09563375269331946;0.11996010546377399
J;441416180;3875;113913.85290322581;0.036275245575050116;0.03826518016728055
K;231105063.9;2201;105000.02903225807;0.018992038186298812;0.021734622335015354
L;216262763;2145;100821.80093240093;0.017772309199367956;0.021181628763565625
M;1082082047;12580;86016.06096979333;0.0889246787176626;0.12422605587210049
N;703683758;5021;140148.1294562836;0.057828195442731926;0.04958179861159114
P;122056047.1;1796;67959.93713808463;0.010030473016354732;0.01773529382720926
Q;653532887.25;6170;105921.05141815235;0.05370683506971876;0.060928041711515106
R;183828559;2001;91868.34532733633;0.01510689101027649;0.019759645294123458
S;175970834.8;5541;31757.956109005594;0.014461149218446354;0.05471673891791008
U;79855183;1475;54139.10711864407;0.006562438136648202;0.01456545567657776
